Activities,,,,,,,,,
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
5/11/18,"3,401","33,470",15.1,163,394,291,110,166,"2,558"
5/12/18,"3,363","37,718",15.96,54,407,398,212,54,"2,615"
5/13/18,"2,632","26,015",11.1,10,500,235,161,34,"1,675"
5/14/18,"2,809","19,616",8.3,3,428,255,113,76,"1,871"
5/15/18,"2,887","24,480",10.98,68,496,257,101,96,"1,951"
5/16/18,"2,724","21,208",9.86,8,411,175,94,93,"1,711"
5/17/18,"2,066","11,118",4.7,42,635,281,13,13,997
5/18/18,"2,861","29,652",12.55,211,408,296,100,72,"1,940"
5/19/18,"2,495","24,614",12.56,64,549,130,65,106,"1,434"
5/20/18,"2,372","20,303",8.61,6,516,196,87,52,"1,320"
5/21/18,"2,238","10,614",4.49,20,508,350,15,8,"1,224"
5/22/18,"2,165","14,668",6.21,11,497,268,51,6,"1,106"
5/23/18,"2,638","25,927",12.71,75,603,185,56,109,"1,608"
5/24/18,"2,849","27,779",13.79,14,531,297,76,87,"1,910"
5/25/18,"2,311","12,055",5.1,5,644,409,12,0,"1,340"
5/26/18,"2,210","18,535",7.84,13,949,175,108,9,"1,135"
5/27/18,"3,015","35,352",14.96,28,354,375,186,19,"2,200"
5/28/18,"2,743","29,701",12.57,25,562,239,180,34,"1,805"
5/29/18,"2,753","28,950",12.45,29,505,259,133,64,"1,819"
5/30/18,"3,021","33,942",14.79,27,468,240,165,89,"2,124"
5/31/18,"3,261","41,134",17.46,13,674,379,236,17,"2,488"
6/1/18,"2,698","26,688",11.35,21,484,280,111,57,"1,754"
6/2/18,"3,011","29,174",12.35,24,415,475,105,21,"2,207"
6/3/18,"3,086","37,457",15.85,13,444,332,230,8,"2,261"
6/4/18,"3,179","36,193",15.46,54,308,362,188,53,"2,387"
6/5/18,"2,753","27,981",11.84,3,581,353,128,13,"1,841"
6/6/18,"2,727","25,864",10.94,25,408,408,84,9,"1,837"
6/7/18,"3,231","30,406",13.63,19,532,385,129,80,"2,396"
6/8/18,"2,804","23,976",10.15,27,600,383,132,13,"1,907"
6/9/18,"2,674","22,549",9.54,41,427,265,127,34,"1,669"
6/10/18,"3,470","32,370",14.89,69,645,399,145,103,"2,616"
6/11/18,"2,368","18,738",7.93,15,825,306,87,8,"1,364"
6/12/18,"2,416","19,086",8.08,30,413,286,88,13,"1,416"
6/13/18,"2,612","19,121",8.09,25,435,378,31,39,"1,669"
6/14/18,"2,506","13,720",5.81,21,736,302,40,32,"1,465"
6/15/18,"2,109","10,700",4.53,12,694,307,26,6,"1,052"
6/16/18,"2,526","15,628",6.61,51,560,380,25,47,"1,567"
6/17/18,"2,321","17,882",7.57,27,657,282,70,8,"1,280"
6/18/18,"2,696","21,194",9.59,47,634,376,62,42,"1,769"
6/19/18,"2,893","28,033",11.86,36,491,374,134,37,"2,037"
6/20/18,"2,404","19,467",8.33,29,586,257,98,28,"1,392"
6/21/18,"2,227","15,737",6.66,15,727,275,48,14,"1,164"
6/22/18,"2,993","30,331",12.83,29,473,418,136,24,"2,154"
6/23/18,"2,918","26,255",11.84,31,404,240,135,78,"1,975"
6/24/18,"2,177","14,324",6.06,24,628,258,55,20,"1,114"
6/25/18,"2,817","27,236",12.66,35,490,303,94,70,"1,873"
6/26/18,"2,445","22,540",9.54,35,669,227,117,31,"1,435"
6/27/18,"2,265","16,781",7.1,36,487,257,58,18,"1,204"
6/28/18,"2,601","19,911",8.43,25,642,415,66,14,"1,679"
6/29/18,"3,664","44,446",20.64,24,451,400,198,109,"2,937"
6/30/18,"2,881","29,366",12.6,31,304,303,140,50,"1,971"
7/1/18,"2,175","13,475",5.7,9,744,290,56,6,"1,122"
7/2/18,"2,220","17,007",7.21,24,647,231,88,18,"1,175"
7/3/18,"2,652","25,499",12.11,21,623,201,82,83,"1,623"
7/4/18,"1,916","8,966",3.79,13,773,168,38,6,730
7/5/18,"2,718","19,234",8.14,18,544,498,41,4,"1,823"
7/6/18,"3,061","29,172",12.34,96,573,478,78,44,"2,207"
7/7/18,"3,228","32,762",13.89,157,338,429,133,64,"2,416"
7/8/18,"2,568","23,719",11.18,28,540,215,85,64,"1,536"
7/9/18,"2,313","18,007",7.62,21,610,240,104,13,"1,284"
7/10/18,"2,225","17,920",7.58,20,579,186,93,25,"1,149"
7/11/18,"2,361","18,392",7.78,20,558,274,89,20,"1,349"
7/12/18,"2,270","14,504",6.14,23,750,355,8,9,"1,227"
7/13/18,"2,689","17,672",7.48,35,495,357,148,11,"1,793"
7/14/18,"2,038","11,318",4.79,30,634,266,18,7,944
7/15/18,"2,709","23,261",10.53,27,548,233,128,58,"1,737"
7/16/18,"2,754","26,983",11.43,51,614,280,143,45,"1,811"
7/17/18,"2,229","15,873",6.72,22,729,239,74,10,"1,158"
7/18/18,"2,034","12,382",5.24,27,659,207,55,6,918
7/19/18,"2,465","22,942",9.71,27,636,218,136,20,"1,452"
7/20/18,"2,868","20,937",8.92,26,333,186,127,97,"1,886"
7/21/18,"2,601","22,800",9.65,40,406,222,127,43,"1,610"
7/22/18,"2,100","13,926",5.89,9,731,230,52,6,997
7/23/18,"2,436","18,399",7.78,26,668,319,86,11,"1,443"
7/24/18,"2,398","15,084",6.38,21,534,320,69,14,"1,396"
7/25/18,"2,218","16,123",6.82,30,448,172,109,12,"1,110"
7/26/18,"2,363","15,398",6.52,36,699,399,5,3,"1,336"
7/27/18,"2,607","10,767",4.56,17,681,251,31,65,"1,532"
7/28/18,"2,801","21,514",9.1,16,315,264,107,88,"1,863"
7/29/18,"2,014","10,797",4.57,12,713,217,57,5,904
7/30/18,"3,217","37,001",15.66,32,501,282,237,61,"2,377"
7/31/18,"2,067","11,963",5.06,19,796,263,32,2,962
8/1/18,"2,223","14,862",6.29,25,702,271,65,8,"1,157"
8/2/18,"2,606","21,262",10.35,19,793,210,68,78,"1,537"
8/3/18,"2,951","28,019",11.86,28,310,437,123,22,"2,114"
8/4/18,"2,212","15,573",6.59,13,694,198,85,18,"1,138"
8/5/18,"2,093","13,197",5.58,25,637,206,59,13,987
8/6/18,"2,485","19,756",8.36,30,578,275,77,31,"1,464"
8/7/18,"2,232","11,833",5.01,10,850,323,52,4,"1,191"
8/8/18,"2,478","20,241",8.57,30,483,206,112,44,"1,450"
8/9/18,"3,087","30,974",13.11,34,576,492,123,24,"2,311"
8/10/18,"1,899","9,654",4.08,16,995,216,23,0,767
8/11/18,"3,455","33,976",15.12,78,375,239,129,97,"1,961"
8/12/18,"2,784","27,293",13.89,90,430,338,37,92,"1,852"
8/13/18,"2,255","17,267",7.31,62,478,222,67,40,"1,197"
8/14/18,"2,786","26,032",12.92,18,515,348,47,78,"1,851"
8/15/18,"2,220","15,141",7.45,45,667,213,30,49,"1,126"
8/16/18,"2,482","19,319",9.3,72,519,309,28,66,"1,488"
8/17/18,"2,474","17,647",7.47,41,455,383,44,26,"1,523"
8/18/18,"2,603","22,964",11.16,68,535,316,39,72,"1,635"
8/19/18,"2,299","16,076",6.8,40,631,347,33,24,"1,310"
8/20/18,"2,302","17,777",7.52,40,713,267,67,24,"1,279"
8/21/18,"2,625","23,256",10.24,64,415,282,81,66,"1,660"
8/22/18,"2,324","18,818",7.96,47,549,240,81,38,"1,295"
8/23/18,"2,058","11,405",4.83,29,560,244,18,17,957
8/24/18,"2,934","19,458",8.23,60,507,390,42,82,"2,041"
8/25/18,"2,351","16,025",6.78,45,463,407,21,17,"1,402"
8/26/18,"2,289","16,526",7.02,48,570,265,48,40,"1,245"
8/27/18,"2,215","13,696",5.8,42,540,274,39,22,"1,151"
8/28/18,"2,288","17,469",7.39,48,457,217,69,29,"1,203"
8/29/18,"2,700","26,407",12.91,74,632,263,63,83,"1,705"
8/30/18,"2,156","14,972",7.07,42,704,174,35,48,"1,010"
8/31/18,"2,709","21,272",9,128,526,242,94,80,"1,724"
9/1/18,"3,037","31,064",13.14,241,571,431,61,85,"2,197"
9/2/18,"2,047","12,374",5.26,14,555,212,40,17,946
9/3/18,"2,023","10,162",4.33,56,629,215,25,16,898
